Company,Contact,Email,Website,Country,WhatsApp,Category,Source,Status,Note,Level,Owner,NextFollowup,History
PK SAFETY UK,,"info@pksafety.com, info@pksafetyuk.com",https://www.pksafetyuk.com/,,"+441443741999, 000132668, 0133-4956",PET,europages,NEW,,C,sales,,
ETIMARK GMBH & CO. KG,,info@etimark.de,https://www.etimark.de,Germany,"+49 6041 9604-0, +49604196040, 1-1718961766",PET,europages,NEW,,C,sales,,
WELFARE TRACKER SL,,info@welfaretracker.com,https://welfaretracker.com,,"+34 627 532 263, +90 0 (232) 324 11 83, 0011-1365-2018-000302",PET,europages,NEW,,C,sales,,
DOGITEX,,info@dogitex.com,https://www.dogitex.com,,"+90 212 485 66 88, 0 0 1000 1000, 0 0 320 512",PET,europages,NEW,,C,sales,,
ANGLO EAST,,"admin@angloeast.com, fivevalley@outlook.com, info@angloeast.com",https://angloeast.com,,"+353 44 937 2772, +353 44 9372086, +353 44 9372722",PET,europages,NEW,,C,sales,,
VAU TORTE,,info@vau-torte.com,https://www.vau-torte.com/,,"+0152-0153, +385 91 509 6039, +385 91 6510156",PET,europages,NEW,,C,sales,,
NATURAL DOG,,info@naturaldog.es,http://www.naturaldog.es,Spain,"1334572463, 1715034064, 1780571924",PET,europages,NEW,,C,sales,,
Friedr. Freek GmbH,,"bootstrap@3.3.7, ed.etnemelezieh-gsk@htreg.g, nc.cetaeh@nehc.leahcim",https://freek.de/,Germany,"+49 (0) 23 73 95 90-0, +49 (0) 23 73 95 90-30, +49 23 73 95 90 0",PET,europages,NEW,,C,sales,,
Yeastup AG,,hello@yeastup.com,https://www.yeastup.com,,"+0152-0153, +41 56 255 33 33, 0 0 100 100",PET,europages,NEW,,C,sales,,
FORTIS M. BOROWY SP. J.,,"druk3d@fortis.net.pl, grzegorz@fortis.net.pl, info@fortis.net.pl, kacper@fortis.net.pl, marcin.d@fortis.net.pl, patryk@fortis.net.pl",http://fortis.net.pl,Poland,"+48 68 477 21 30, 0-0.828-0.586-1.414, 0.039-0.688-0.039-2.477",PET,europages,NEW,,C,sales,,
GLOBAL LABEL,,"admin@globallabel.es, jcrespo@globallabel.es, proyectos@globallabel.es",https://www.globallabel.es,Spain,"1.0.0.1586431383, 163258914-1, 1765396864",PET,europages,NEW,,C,sales,,
FATRA A.S.,,"fatra@fatra.cz, info@fatra.cz",http://www.fatra.cz,,"+420 577 501 111, +420577501111, 0 0.703125",PET,europages,NEW,,C,sales,,
Mmg maquinaria,,mmg@mmgmaquinaria.com,https://mmgmaquinaria.com,,"+34) 968 69 21 36, +34968692136, 0 5 3.7 9.1 8.4 9.9",PET,europages,NEW,,C,sales,,
TECHNIC MACHINES,,info@technicmachines.com,https://www.technicmachines.com,,"+90 212 570 2911, +90 212 570 2912, +90 532 169 70 95",PET,europages,NEW,,C,sales,,
PLASTOBREIZ & PLASTOLOIR,,"contact@plastobreiz.com, contact@plastoloir.com",http://www.plastobreiz.com/,,"+33 (0)2 43 35 04 17, +33 (0)2 43 35 09 81, +33 (0)2 97 24 17 50",PET,europages,NEW,,C,sales,,
MAQUETAS AXFITO,,"20oscar@maquetasaxfito.com, daniel@maquetasaxfito.com",https://maquetasaxfito.com/,,"+34 657 348 188, 0 0 1000 1000, 0 0 320 512",PET,europages,NEW,,C,sales,,
Petroplast GmbH,,folien@petroplast.de,http://www.petroplast.de/,Germany,"+49 2131 75 73 0, +49 2131 75 73 300, +49213175730",PET,europages,NEW,,C,sales,,
VIRMER,,"help@virmer.com, info@virmer.com",https://virmer.com/,,"+31208082045, +31616085518, 0 0 207 350",PET,europages,NEW,,C,sales,,
eurolaser GmbH,,"sales@eurolaser.com, service@eurolaser.com",https://www.eurolaser.com/,,"+49 4131 96 97 400, +49 4131 96 97 500, +49413196970",PET,europages,NEW,,C,sales,,
MPM TEXTILES - HOTEL & HOUSEHOLD TEXTILES,,sales@mpmtextiles.com,https://mpmtextiles.com/en/,,"+351 253 527 490, +351253527490, 0 0 512 512",PET,europages,NEW,,C,sales,,
Kirschauer Textil GmbH,,"info@kirschauer-textil.de, info@myartside.de",http://www.kirschauer-textil.de/,Germany,"+49 (0)3592 - 5159 - 20, 03591 279 655 8, 03591 351 796",PET,europages,NEW,,C,sales,,
DekorTech GmbH,,"anfrage@digitran.de, info@digitran.de",https://www.digitran.de,Germany,"+49 (0)5223 - 180 8950, +49 (0)5223 - 491 4076, +49 (0)5223 1808950",PET,europages,NEW,,C,sales,,
TOSA SPA,,"admin@phs-uk.com, admin@prime-eng.com.au, azzure@azzure.com.br, biuro@proster.net.pl, contact@tosafrance.com, contacto@desinmec.com, euroser@euroser.com.mx, info@isagroupcorp.com, info@pantologep.hu, info@robital.ro, info@stretchab.se, info@tosa.it, info@tosagermany.com, info@tosaiberica.es, inziniering@manex.sk, josef.riegler@riegler-verpackungstechnik.com, sales@afr.com.ru, sales@ausloos.be, sales@weitekil.com, w.jacoby@clevertech-group.com",https://www.tosagroup.com/,,"+1 (305) 397.2633, +1 (305) 407.2897, +1 (305) 748.1578",PET,europages,NEW,,C,sales,,
Gelpell AG,,"contact@gelpell.com, info@balancepoint.com, info@gelpell.com",http://www.gelpell.com/,,"+00 12312312, +0102-0103, +0110-0111",PET,europages,NEW,,C,sales,,
Svetprint EU,,solutions@svetprint.eu,https://www.svetprint.eu,,"+31 623598231, +31623598231, +31623598291",PET,europages,NEW,,C,sales,,
Bravel,,sbrault@bravel.tech,https://www.bravel.tech/,,"+33 (0)6 47 12 77 45, 544-33955430, 929 765 808",PET,europages,NEW,,C,sales,,
MB KARTON Ernst Behrend GmbH,,"info@mb-karton.de, jan@arrowinapple.de",http://www.mb-karton.de/,Germany,"+49 30 - 720 030 - 0, +49 30 - 720 030 - 30, +49307200300",PET,europages,NEW,,C,sales,,
thermo Flächenheizungs GmbH,,info@thermo.de,https://www.thermo.de,Germany,"0049844296610, 11.5780288, 11.5784991",PET,europages,NEW,,C,sales,,
1 & 1 Pulspack e.K.,,info@pulspack.de,http://www.pulspack.de/,Germany,"+49 1752436 885, 02051 - 803799-0, 02051-803799-0",PET,europages,NEW,,C,sales,,
E-M-C-direct GmbH & Co. KG,,"buchhaltung@emc-direct.de, info@emc-direct.de, vertrieb@emc-direct.de",https://www.emc-direct.de/,Germany,"+49 (0)2369 - 98469-0, +49 (0)2369 - 98469-15, +49 (0)2369 - 98469-16",PET,europages,NEW,,C,sales,,
Jokisch GmbH,,info@jokisch-fluids.de,https://www.jokisch-fluids.de/catalog/de/,Germany,"+49520297340, 01.08.2025, 10.03.2025",PET,europages,NEW,,C,sales,,
MARAK-ACRYL Kunststoffhandels-GmbH,,"0info@marak-acryl.de, info@marak-acryl.de",http://www.marak-acryl.de/,Germany,"+49 (0) 93 72 - 98 431 0, +49 (0) 93 72 98 431 0, +4909372984310",PET,europages,NEW,,C,sales,,
part.solutions GmbH,,hello@part.solutions,https://part.solutions/,,"+41 71 511 32 72, +41123456789, +41715113272",PET,europages,NEW,,C,sales,,
Apullma Maschinenfabrik A. Pulsfort GmbH & Co. KG,,info@apullma.de,https://www.apullma.de/,Germany,"13.8771 11.7349, 138767504, 2.99478 12.2251",PET,europages,NEW,,C,sales,,
Rudolf Klojer GmbH,,"mock@klojer.de, office@klojer.de, support@webador.de",http://klojer.de/,Germany,"+4963539013930, 109839074, 1252 1252",PET,europages,NEW,,C,sales,,
"REBIE - Der zoologische Versandgroßhandel, Inh. Lars Remke",,info@rebie.de,https://www.rebie-onlineshop.com/home.html,,"+49 (0)521 - 62811, +49 (0)521 - 9688880, 0 0 200 200",PET,europages,NEW,,C,sales,,
Seaweed meal (Ascophyllum nodosum) – Natural mineral source for animal feed,,info@mabitec.de,https://www.mabitec.de/tiernahrung/seealgenmehl/,Germany,"+49 (0)40 4689 604 0, +49 (0)40 4689 604 99, +49 (0)40 4689604 0",PET,wlw,NEW,,C,sales,,
Engineering Plastic: PET - Polyethylene Terephthalate,,info@ktkgmbh.de,https://ktkgmbh.de/produkte/produktgruppen/konstruktionskunststoffe/pet/,Germany,"+49 (0) 89-84 05 88-96, +49 (0)89 84058896, +49 (0)89 840797-0",PET,wlw,NEW,,C,sales,,
FPH254-09-D-05-B-3-03-3-M-L69 industrial connector,,info@samytronic.de,https://www.samytronic.de/FPH254-09-D-05-B-3-03-3-M-L69,Germany,"+49 171 8853162, +49 521 54361600, 0 0 16.6666666667",PET,wlw,NEW,,C,sales,,
Kantenschutz aus Pappe,,bootstrap@5.1.3,https://www.amsa-verpackung.at/en/products/edge-protection,Austria,"+43 5576 75 692, +43 5576 75 692 - 5, 12606487-1",PET,wlw,NEW,,C,sales,,
Samarium-Cobalt Magnets,,"info@calamit.de, miccoli@calamit.com, virtuoso@calamit.com",https://www.calamit.de/produkte/permanentmagnete/samarium-cobalt-magnete,Germany,"+49 (0) 8233 7 95 94 77, +49) 08233 7959477, +49) 08233 7959478",PET,wlw,NEW,,C,sales,,
Shrink Sleeves as Originality Protection,,info@illert-etiketten.de,https://illert-etiketten.de/service/erstoeffnungsschutz-per-shrink-sleeve/,Germany,"+496181670090, 0.292893 0.292893, 0.292893 1.70711",PET,wlw,NEW,,C,sales,,
"Tablet, Capsule and Pill Packaging Machine",,comercial@viclinapack.com,https://viclinapack.com/en/about/,,"+34 931 185 000, 0 0.018 0.196 4.214, 0 0.054-4.58 7.491",PET,wlw,NEW,,C,sales,,
"Organic Orange Juice, Eco Label",,info@keinerlei.de,https://keinerlei.de/bio-orangensaft-eco-label_a597-10-120-140-1042,Germany,"+49 (0) 5921 827 87-0, +49 (0) 5921 827 87-99, +49 (0)5921 827 87-0",PET,wlw,NEW,,C,sales,,
B7Q - Byte To Quantum GmbH,,info@b7q.de,https://www.b7q.de,Germany,"+49 6032 9252465, +49) 6032 - 9252 465, 0 0 320 512",PLATFORM,europages,NEW,,C,sales,,
INOBALT,,"info@inobalt.lt, rolandas@inobalt.lt",https://inobalt.lt,,"+370 612 22499, +37061222499, 141319369",PLATFORM,europages,NEW,,C,sales,,
PIRONEX GMBH,,info@pironex.de,http://www.pironex.de/,Germany,"+49 (0) 381 70 06 08 0, +49 0381 70 06 08 0, +49) 0211 23855902",PLATFORM,europages,NEW,,C,sales,,
DANNIE.CC TR,,"fill@100..700, hr@dannie.cc, pr@dannie.cc, procurement@dannie.cc, sales@dannie.cc",https://www.dannie.cc/,,"0 5-3.5 7.5-7.66 8.95, 1 1 0 0 1-.67-.01, 1.17 1.17 0 0 1 1.52 0",PLATFORM,europages,NEW,,C,sales,,
WORK&TRACK MOBILE,,neo@neo-si.com,https://www.workandtrack.mobi/de/,,"+34) 91 5751806, +34678567876, 0 0 100 100",PLATFORM,europages,NEW,,C,sales,,
SYNTEO,,biuro@synteo.com.pl,http://synteo.com.pl,Poland,"0.10409688949585, 0.11442613601685, 05-08-25 17",PLATFORM,europages,NEW,,C,sales,,
"MARCOM INTEGRALES DE SISTEMAS, S.L.",,"elchin@marids.es, info@marids.es",https://marids.es,Spain,"+34 91 187 56 65, +34 911 87 56 65, 0187677793456",PLATFORM,europages,NEW,,C,sales,,
JUMO heatTHERM - Built-in thermostat (602031),,you@yourdomain.de,https://www.jumo.group/de/de/products/productdetails/602031,,"+49 661 6003-716, +49 661 6003-729, 158887828",PLATFORM,europages,NEW,,C,sales,,
TREXOM S.P.A.,,iltuo@email.it,https://www.trexom.solutions,,"+39 0432.79.30.10, +390432.79.30.10, 02303810309",PLATFORM,europages,NEW,,C,sales,,
Elis Tech s.r.o.,,"affiliate@elis.tech, bartos@takacs.sk, contact@elis.tech, contact@misaservices.fr, cpicanyol@pdmcubic.com, email@elis.tech, eshop@triovalltd.com, fatra@izolfa.com, geo@geo-arg.com.ar, gilles@mdc.fr, haberkorn@haberkorn.hu, info@aquafol.systems, info@bmc-gulf.com, info@elis.tech, info@geodetector.sk, info@globalsourceksa.com, info@heisslufttechnik.pl, info@impertek.com, info@jannone.ch, info@ldm.la, info@marexstroji.si, info@maschinen-stockert.de, info@piltorps.se, info@qems-group.com, info@rento-tools.be, info@rikaz.kz, info@seldx.com, info@stellagroup.tech, info@technissis.gr, info@weldplast.cz, info@weldplast.sk, leister@kobo-bg.bg, office@kobo-bg.bg, office@marcom-plast.rs, predaj@plochastrecha.sk, sales@cableaccessories.ie, tokgoz@tokgozmakina.com.tr, tomas.barborjak@elistech.com.au",https://www.elis.tech,,"+33624635089, +421 099 099, +421 911 914 438",PLATFORM,europages,NEW,,C,sales,,
Visser & Visser,,info@visserbreda.nl,https://visserenvisser.nl/,Netherlands,"+31765415073, 0000693720, 0520709608",PLATFORM,europages,NEW,,C,sales,,
Lavid Software GmbH,,info@lavid-software.net,http://www.lavid-software.net/,,"+49 2166 970220, +49 2166-97022-0, +49 2166-97022-15",PLATFORM,europages,NEW,,C,sales,,
BÜRK MOBATIME GMBH,,"alexander.braun@buerk-mobatime.de, bestellungen@buerk-mobatime.de, buerk@buerk-mobatime.de, buerk@buerk-mobatime.deumsatzsteuer-idumsatzsteuer-identifikationsnummergem, e.blaschka@mattig-schauer.at, info@finkzeit.at, juergen.mauthe@buerk-mobatime.de, kontakt@telena.de, markus.metzler@watts-web.de, sandra.allgaier@buerk-mobatime.de",https://www.buerk-mobatime.de/,Germany,"+43 (0) 1 61055, +49 (0) 39203, 0 0 100 100",PLATFORM,europages,NEW,,C,sales,,
thyssenkrupp MillServices & Systems GmbH,,"dirk.koppe@thyssenkrupp-materials.com, manfred.render@thyssenkrupp-materials.com, matthias.kallweit@thyssenkrupp.com, tkmss.info@thyssenkrupp-materials.com",http://www.thyssenkrupp-mss.com/,,"+49 208 65605 165, +49 208 65605-0, +49 208 65605-100",PLATFORM,europages,NEW,,C,sales,,
Krüger Montage Service GmbH,,info@kms-hannover.com,https://kms-hannover.com/,,"+49 (0) 511 647 94 34, +49(0) 511- 647 94 33, 0511 647 94 33",PLATFORM,europages,NEW,,C,sales,,
LOCALITECH SAS,,"contact@localitech.fr, info@localitech.fr",https://www.localitech.fr,France,"+33186909810, 0 0 352 512, 0 0 448 512",PLATFORM,europages,NEW,,C,sales,,
DETECTADOS SERVICIOS DE INVESTIGACIÓN,,contacta@detectados.eu,https://www.detectados.eu,,"+34 630 216 752, +34 910 413 151, 0 0 1000 100",PLATFORM,europages,NEW,,C,sales,,
ENTERDATA GMBH,,info@enterdata.de,https://enterdata.de,Germany,"+49 209 5130 8980, +4920951308980, 0 0 1000 1000",PLATFORM,europages,NEW,,C,sales,,
TRANSPORTES INSAUSTI S.A.,,"denuncias@transportesinsausti.com, rrhh@transportesinsausti.com, transportesinsausti@transportesinsausti.com",http://transportesinsausti.es/,Spain,"+34) 943 262 800, +34) 943 262 801, 2025-12-01 15",PLATFORM,europages,NEW,,C,sales,,
MINOVA TECHNOLOGY GMBH,,info@minovatech.de,http://www.minovatech.de,Germany,"+13238884554, +13239134688, +49 (0) 741 348 51 564",PLATFORM,europages,NEW,,C,sales,,
MOBILEOBJECTS AG,,info@mobileobjects.de,https://www.mobileobjects.de,Germany,"+49 (0) 52 92 - 89 89 1 - 0, +49 (0) 52 92 - 89 89 1 - 20, +495292-898910",PLATFORM,europages,NEW,,C,sales,,
VTEC SOLUTIONS LTD,,"accounts@vtecsolutions.co.uk, christine@vtecsolutions.co.uk, info@vtecsolutions.co.uk, keri@vtecsolutions.co.uk, lauren@vtecsolutions.co.uk, paul@vtecsolutions.co.uk, service@vtecsolutions.co.uk, sharon@vtecsolutions.co.uk",https://www.vtecsolutions.co.uk,United Kingdom,"+0152-0153, +44 1236 541080, 0 0 144 144",PLATFORM,europages,NEW,,C,sales,,
NAXERTECH LTD,,"info@naxertech.co.uk, info@naxertech.com, sales@naxertech.co.uk, sales@naxertech.com, support@naxertech.co.uk, support@naxertech.com",http://www.naxertech.com,,"+44(0)1509 808168, +92(051)2160059, +92(21)-345588715",PLATFORM,europages,NEW,,C,sales,,
IMM,,"20info@id-micro.de, 20reparaturen@id-micro.de, contact@mysite.com, info@id-micro.de, reparaturen@id-micro.de",http://www.id-micro.de,Germany,"+0152-0153, +49 (0)5304-931288, +49-(0)5304-931285",PLATFORM,europages,NEW,,C,sales,,
BINOLOGY LLC,,invest@binology.com,https://binology.com/,,"0 0 100 100, 1.105 0 2-.895 2-2, 1.657 0 3-1.343 3-3",PLATFORM,europages,NEW,,C,sales,,
EDATAINT - EDATA ELEKTRONIK TIC. VE SAN. A.S.,,info@propay.com.tr,http://www.edataint.com,,"+48 22 545 32 40, +48 22 678 60 29, +90 (216) 461 31 10",PLATFORM,europages,NEW,,C,sales,,
OPE,,info@opeonline.it,http://www.opeonline.it,Italy,"+39.0542.010914, 0.66666666666667, 02718100361",PLATFORM,europages,NEW,,C,sales,,
TEC,,info@tecnospy.it,http://tecnospy.eu,,"+39 02 45 493 141, +39 02 89 530 774, +39 02 89530774",PLATFORM,europages,NEW,,C,sales,,
XtraHunt ApS,,"info@stagheaddesigns.com, info@xtrahunt.dk",https://xtrahunt.dk/,,"+45 48 88 88 08, 0 .27-.1.5-.28.69, 0 6.1 0 6.4 0 8.77",PLATFORM,europages,NEW,,C,sales,,
MODERN DRIVE TECHNOLOGY GMBH,,info@moderndrive.de,http://www.moderndrive.de,Germany,"+49 9181 50980-0, +499181509800, 0 0 1000 1000",PLATFORM,europages,NEW,,C,sales,,
Precision Measuring Light Barrier 203.10 for Measurement Distances up to 60mm,,"info@hentschel-system.de, webmaster@hentschel-system.de",https://hentschel-system.de/de/produkte/geschwindigkeit/praezisions-messlichtschranke-20310,Germany,"+49 511 494581, +49 511 94992-0, +490511949920",PLATFORM,wlw,NEW,,C,sales,,
Perfect tools for screwing,,"adolf.schmid@plarad.de, arnold-industriebedarf@t-online.de, artur.rehmann@plarad.de, christian.engelmann@plarad.de, info@plarad.de, italia@plarad.com, jonas.rumpel@plarad.de, joubert@plarad.fr, juergen.gallinger@plarad.de, kerem.erguden@plarad.de, klaus.teske@plarad.de, matthias.scheuerlein@plarad.de, plarad-nord@plarad.de, plarad-tork@plarad.com, roland.spicak@plarad.de, slawomir.lach@plarad.de, stefan.hofbauer@plarad.de, tobias.rittig@plarad.de, torsten.stricker@plarad.de, torsten.zobiack@plarad.de, uk@plarad.com, valeri.scheifler@plarad.de",https://www.plarad.de/branchen/verkehrstechnik/,Germany,"+33 (0)235 02 74 83, +33 (0)663 37 07 02, +39 02 98 11 91 73",PLATFORM,wlw,NEW,,C,sales,,
Labelpack Manufacturing S.R.L.,,info@labelpack.it,https://www.labelpack.it/,Italy,"+39 039 9156551, 0 0 320 512, 0 0 448 512",PLATFORM,europages,NEW,,C,sales,,
PHOENIX ITALIA S.R.L.,,info.labeling@ima.it,https://www.imalabeling.com,,"+39 02 9036 0778, +39 02 90360778, +390290360778",PLATFORM,europages,NEW,,C,sales,,
MaxSoft Ltd,,"office@maxsoft.bg, user@website.com",http://www.maxsoft.bg,,"+359 876 862 015, 0 0 320 512, 0 0 448 512",PLATFORM,europages,NEW,,C,sales,,
HENRY & CO. SRL,,legalmail@pec.henryandco.it,https://www.ecodesignagency.com,,"+39 045 245 6619, +39 045 2456619, 0-8101-8325",PLATFORM,europages,NEW,,C,sales,,
Maxel Endüstri Elektrik Elektronik San. ve Tic. Ltd. Şti.,,info@endustriyelmarket.com,https://www.endustriyelmarket.com,,"+90 534 260 7550, +905342607550, 0 13.7727 -6.88613",PLATFORM,europages,NEW,,C,sales,,
STRABAG Property and Facility Services GmbH,,kundenservice-pfs@strabag.com,http://www.strabag-pfs.com/at,,"+43 50599-0, +43 50599-68003, +43 800 600 697",PLATFORM,europages,NEW,,C,sales,,
Movewer Technologies,,contact@movewertechnologies.com,https://movewertechnologies.com,,"+351928381366, 39.557191",PLATFORM,europages,NEW,,C,sales,,
CS Beschaffung GmbH,,"info@cs-beschaffung.de, zentrale@cs-beschaffung.de",https://cs-beschaffung.de,Germany,"+49 7195 5909171, +4971955909171, 00484733 768",PLATFORM,europages,NEW,,C,sales,,
WM SYSTEMS,,iotsales@wmsystems.hu,http://www.m2mserver.com,,"+36 70 360 5638, 0 0 132.2 77.7, 0-0.3-0.1-0.6-0.4-0.8",PET,europages,NEW,,C,sales,,
ADVANTEC DISTRIBUTION,,"info@advantec.it, select2@4.1.0-rc.0, splide-extension-auto-scroll@0.5.3, splide@4.1.4",https://advantec.it,Italy,"+39) 0121 326770, 0 0 256 256, 0 0 330 512",PET,europages,NEW,,C,sales,,
Iberia Fruit Cargo GmbH & Co. KG,,"info@iberiatranscargo.de, wght@300..800, wght@400..700",https://www.iberiafruitcargo.de/,Germany,"+0152-0153, +0302-0303, +0307-0308",PLATFORM,europages,NEW,,C,sales,,
Vention,,"careers@ventionteams.com, contact@ventionteams.com, u003econtact@ventionteams.com, vendors.partnership@ventionteams.com",https://ventionteams.com/uk,,"+44 207 117 2842, +442071172842, +44207117284230",PLATFORM,europages,NEW,,C,sales,,
ANTRACITE DESIGN & INNOVATION,,contact@antracite.fr,https://www.antracite.fr,France,"0-0.8-0.1-1.5-0.4-2.2, 0-2-0.2-2.9-0.6, 0-2.1-0.9-2.1-2.1",PLATFORM,europages,NEW,,C,sales,,
Ozvweb di Osvaldo Verì,,info@ozvweb.com,https://www.ozvweb.com,,"+393311259151, 02791380690, 100064599377185",PLATFORM,europages,NEW,,C,sales,,
Fijaplast,,"hola@fijaplast.com, sat@fijaplast.com",https://fijaplast.com/,,"+34 913 247 202, +34 937 162 212, +34 951 568 670",PLATFORM,europages,NEW,,C,sales,,
PortWave GmbH,,mail@portwave.de,https://www.portwave.de,Germany,"+49 40 604 29489 0, 0 0 1000 1000, 0 0 320 512",PLATFORM,europages,NEW,,C,sales,,
eumetron GmbH,,"datenschutz@eumetron.de, eumetrongmbh@eumetron.de, info@eumetron.de, mustermann@mustermail.de",http://www.eumetron.de/,Germany,"+49 7361 3703-0, +49 9081 2503 450, +49736137030",PLATFORM,europages,NEW,,C,sales,,
Brinkmann Technology GmbH,,"info@agentur-77.de, info@brinkmann-tech.com",http://www.brinkmann-tech.com,,"+49 2521 846840, 0 0 402.27 862.91, 0 0 467.98 349.2",PLATFORM,europages,NEW,,C,sales,,
igus SE & Co. KG.,,info@igus.net,https://www.igus.eu/,,"+49 2203 9649-8201, +4915224873633, +49220396490",PLATFORM,europages,NEW,,C,sales,,
Europadesk GmbH,,info@europadesk.com,https://www.europadesk.com,,+41 31 971 19 88,PLATFORM,europages,NEW,,C,sales,,
REINASAN BV,,info@reinasan.nl,https://reinasan.nl/en/,Netherlands,"+31 (0)43 - 302 00 41, +31433020041, 0 0 1000 100",PLATFORM,europages,NEW,,C,sales,,
VENALSOL SMART LIGHT S.L.,,info@venalsol.com,https://venalsol.com,,"+34 96 280 82 19, 0.22048000, 1029698958",PLATFORM,europages,NEW,,C,sales,,
Heavydrive GmbH,,sales@heavydrive.com,http://www.heavydrive.com/,,"+49 171 3407406, +49 9070 96896900, +491713407406",PLATFORM,europages,NEW,,C,sales,,
Orbit Ltd.,,orbit@orbit.bg,https://www.orbit.bg,,"+359 2 970 6300, 0 0 352 512, 0 0 448 512",PLATFORM,europages,NEW,,C,sales,,
NERAK GmbH Fördertechnik,,info@nerak.com,http://www.nerak.com/,,"+49 (0) 50 84-944-0, +49050849440, +4950849440",PLATFORM,europages,NEW,,C,sales,,
Vibrix,,"support@vibrix.nl, wght@100..900",https://vibrix.nl/,Netherlands,"+31 (0)6 406 153 87, +31 (0)85 212 9626, +310852129626",PLATFORM,europages,NEW,,C,sales,,
Webac Vibrator Gesellschaft für Vibrationstechnik mbH,,info@webac-vibrationstechnik.com,http://www.webac-vibrationstechnik.com/,,"+49225110870, 0204568426, 067586607",PLATFORM,europages,NEW,,C,sales,,
FOOD SOLUTIONS S.R.O.,,"jaromir.stopka@foodsolutions.pro, suppliers@foodsolutions.pro",https://www.foodsolutions.pro,,"+420732850296, 0 0 136.1 136.1, 0 0 700.5 726.48",PLATFORM,europages,NEW,,C,sales,,
Cargo Plast GmbH,,info@cargoplast.eu,http://www.cargoplast.eu/,,"+49 7553 82 77 888, +49 7553 82 77 889, +49 7553 8277888",PLATFORM,europages,NEW,,C,sales,,
LEADER PIATTAFORME AEREE,,"commerciale@leader-piatt.it, ferrarini@leader-piatt.it, info@leader-piatt.it",https://www.leader-piattaforme.com/,,"+39 0522 619270, +39 800 20 20 50, +390522619270",PLATFORM,europages,NEW,,C,sales,,
Waldemar Loeser GmbH & Co. KG,,"b.garrecht@wloeser.com, c.kaemmerer@wloeser.com, info@wloeser.com, o.brossmann@wloeser.com, r.kaiser@wloeser.com, r.karoubi@wloeser.com",http://www.wloeser.com/,,"+49 (0)6232-87593-0, +49 (0)6232-87593-20, +49 (0)6232-87593-21",PLATFORM,europages,NEW,,C,sales,,
EXCAVACIONES Y OBRA PÚBLICA EXOPBOU,,"exopbou@exopbou.com, toni@exopbou.com",http://www.exopbou.com/,,"0 0 352 512, 0 0 448 512, 100.07 100.07",PLATFORM,europages,NEW,,C,sales,,
IPP SRL,,info@ippsrl.it,http://www.impiantipastorelli.com,,"+0152-0153, +39 0364 202580, 0 0 100 100",PLATFORM,europages,NEW,,C,sales,,
CODESAL S.L.,,"codesal@tallerescodesal.com, comercial@tallerescodesal.com",https://www.tallerescodesal.es/,Spain,"1632392136835, 43.4475059, 638901608248157332",PLATFORM,europages,NEW,,C,sales,,
BeFoodFileld GmbH,,info@befoodfilled.de,https://www.befoodfilled.de,Germany,"+49 (0)30 5490 8754, +49 30 5490 8754, +493054908754",PLATFORM,europages,NEW,,C,sales,,
RONDSON,,contact@rondson.com,http://www.rondson.com,,"05 34 25 61 00, 0534256100, 162474943764362",PLATFORM,europages,NEW,,C,sales,,
TASK SRL,,"amministrazione@tasksrl.it, cv@tasksrl.it, fornitori@tasksrl.it, ordini@tasksrl.it, riparazioni@tasksrl.it, supporto.tecnico@tasksrl.it, tasksrl@legalmail.it",https://www.tasksrl.it/it/,Italy,"+39 049 8703724, +390498703724, 0 0.552 0.448 1 1 1",PLATFORM,europages,NEW,,C,sales,,
hemba - natürlich energie,,"anfrage@hemba.eu, poststelle@datenschutz.hessen.de",https://www.hemba.eu/index.php,,"+49 178 853 1782, 0561 12247, 0611-1408-900",PLATFORM,europages,NEW,,C,sales,,
PDL-GmbH / ZackZack Logistik und Transport,,"bockhorst@pdl-gmbh.de, brueggemann@pdl-gmbh.de, gaertner@pdl-gmbh.de, grundel@pdl-gmbh.de, info@pdl-gmbh.de, saettler@pdl-gmbh.de, u00a0info@pdl-gmbh.de, wilsmann@pdl-gmbh.de",http://www.pdl-gmbh.de/,Germany,"+49 (0) 5404 9189, 0 0 12.71 13.51, 0 0 20 20.24",PLATFORM,europages,NEW,,C,sales,,
Local Energy Sharing / White-Label Electricity - OLI Community,,"erstgesprch@my-oli.com, info@my-oli.com, info@oli-systems.de, jobs@my-oli.com, ole.langniss@my-oli.com, partnerships@my-oli.com, partnerships@olisystems.de, presse@my-oli.com, presse@olisystems.de, thomas.brenner@my-oli.com",https://www.my-oli.com/oli-community,,"+0102-0103, +0110-0111, +0128-0129",PLATFORM,wlw,NEW,,C,sales,,
Artificial lifting systems for improved oil production – Innovative solutions for efficient extraction,,podcast@nov.com,https://www.nov.com/,,"0.25-0.12-0.65-0.94, 1250230296, 1260488666",PLATFORM,wlw,NEW,,C,sales,,
Time Tracking | Time 3010,,"anfrage@azs.de, info@azs.de, info@bde-engineering.de, info@bm-eisleben.de, info@innovent-gmbh.de, kontakt@p-b-c.biz, vertrieb@azs.de",http://www.azs.de/index.php,Germany,"+49 202 27 62 70, +49 202276270, +49 30 398 816 82",PLATFORM,wlw,NEW,,C,sales,,
